"keggcom","text"
"https://www.kegg.jp/entry/C05443","Context:                    Vitamin D3 might benefit prostate cancer (PCa) patients because prostate cells can locally synthesize the active hormone calcitriol."
"https://www.kegg.jp/entry/C02477","Prediagnostic serum concentrations of DBP were assayed for 950 cases and 964 matched controls with existing 25(OH)D measurements within the Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study of Finnish men."
"https://www.kegg.jp/entry/C05443","Vitamin D3 and the risk of CVD in overweight and obese women: a randomised controlled trial"
"https://www.kegg.jp/entry/C00072","Ascorbic acid can be used as a nutritional supplement for cellular therapy of bone-related disease."
"https://www.kegg.jp/entry/C00089","Sucrose, fructose, glucose, and their link to metabolic syndrome and cancer"
"https://www.kegg.jp/entry/C16439","Protein Ingestion Induces Muscle Insulin Resistance Independent of Leucine-Mediated mTOR Activation"
"https://www.kegg.jp/entry/C00153","Nicotinamide improves glucose metabolism and affects the hepatic NAD-sirtuin pathway in a rodent model of obesity and type 2 diabetes"
"https://www.kegg.jp/entry/C00369","Funding:                    European Union, Cancer Research UK, Bayer Corporation, National Starch and Chemical Co, UK Medical Research Council, Newcastle Hospitals Trustees, Cancer Council of Victoria Australia, THRIPP South Africa, The Finnish Cancer Foundation, SIAK Switzerland, and Bayer Pharma."
"https://www.kegg.jp/entry/C00255","Riboflavin at 200 and 400 μmol/L significantly enhanced cell growth in test lung cancer cell lines, and at 400 μmol/L significantly increased the release of interleukin-6, tumor necrosis factor-alpha, and vascular endothelial growth factor."
"https://www.kegg.jp/entry/C00255","Riboflavin at high doses enhances lung cancer cell proliferation, invasion, and migration"
"https://www.kegg.jp/entry/C00504","Folic acid (vitamin B9) rich sources are leafy green vegetables, legumes, whole grains, egg yolk, liver, and citrus fruit."
"https://www.kegg.jp/entry/C00318","L-Carnitine status in end-stage renal disease patients on automated peritoneal dialysis"
"https://www.kegg.jp/entry/C00378","Objective:                    Thiamine or vitamin B1 deficiency diminishes thiamine-dependent enzymatic activity, alters mitochondrial function, impairs oxidative metabolism, and causes selective neuronal death."
"https://www.kegg.jp/entry/C00025","Glutamate production is diminished in an incretin-unresponsive, insulin-secreting β cell line and pancreatic islets of animal models of human diabetes and obesity."
"https://www.kegg.jp/entry/C00378","Thiamine has been hypothesized to play an important role in mental health; however, few studies have investigated the association between thiamine nutritional status and depression in the general population."
"https://www.kegg.jp/entry/C00378","Thiamine is crucial for normal auditory development and function, and its deficiency may be considered an acquired metabolic cause of ANSD in infants."
"https://www.kegg.jp/entry/C00062","Conclusions:                    L-Arginine supplementation affects zinc status in obese patients."
"https://www.kegg.jp/entry/C01673","Calcitriol [1,25(OH)2D3], the hormonally active form of vitamin D exerts anti-proliferative, pro-apoptotic, anti-inflammatory effects and other anticancer actions in breast cancer (BCa) cell cultures and animal models of BCa."
"https://www.kegg.jp/entry/C00072","Ascorbate prevents placental oxidative stress and enhances birth weight in hypoxic pregnancy in rats"
"https://www.kegg.jp/entry/C00120","Biotin and folate supplementation could compensate for each other's deficiency in the repression of LTRs in Jurkat and U937 cells."
"https://www.kegg.jp/entry/C01673","Objectives:                    To investigate the association between insulin resistance and inflammatory markers, and assessing the effects of oral Calcitriol on inflammatory cytokines in type 2 diabetic patients."
"https://www.kegg.jp/entry/C00504","Folic acid and cancer--where are we today?"
"https://www.kegg.jp/entry/C00183","In accordance, well-known microbial production bacteria, such as Escherichia coli and Corynebacterium glutamicum strains, have recently been metabolically engineered for efficient L-valine production under aerobic or anaerobic conditions, and the respective cultivation and production conditions have been optimized."
"https://www.kegg.jp/entry/C00153","Nicotinamide (NAM) is the amide of nicotinic acid and a predominant precursor for NAD(+) biosynthesis via the salvage pathway."
"https://www.kegg.jp/entry/C00155","Conclusion:                    Homocysteine is unlikely to be causally related to arterial stiffness, because there was no association with genetic variants causing hyperhomocysteinemia, whereas non-genetically determined hyperhomocysteinemia was associated with arterial stiffness."
"https://www.kegg.jp/entry/C00037","Glycine and four metabolites found to be significantly associated with regional adiposity were additionally associated with HOMA-IR."
"https://www.kegg.jp/entry/C00255","Excess Vitamin Intake before Starvation does not Affect Body Mass, Organ Mass, or Blood Variables but Affects Urinary Excretion of Riboflavin in Starving Rats"
"https://www.kegg.jp/entry/C00072","Ascorbic acid and its relationship with periodontal disease are very well known."
"https://www.kegg.jp/entry/C00072","Ascorbic acid: new role of an age-old micronutrient in the management of periodontal disease in older adults"
"https://www.kegg.jp/entry/C00025","Results:                    Glutamate taken up from the maternal and fetal circulations was primarily converted into glutamine the majority of which was released into the maternal circulation."
"https://www.kegg.jp/entry/C00440","5-Methyltetrahydrofolate, SAM, and SAM/S-adenosylhomocysteine ratios were lower in FASD and Mthfr(+/-) livers."
"https://www.kegg.jp/entry/C00504","Design:                    Folic acid-supplemented diet (FASD, 10-fold higher than recommended) and control diet were fed to male Mthfr(+/+) and Mthfr(+/-) mice for 6 mo to assess gene-nutrient interactions."
"https://www.kegg.jp/entry/C00016","Transcriptional regulation of the albumin gene depends on the removal of histone methylation marks by the FAD-dependent monoamine oxidase lysine-specific demethylase 1 in HepG2 human hepatocarcinoma cells"
"https://www.kegg.jp/entry/C05443","Vitamin D3 and beta-carotene deficiency is associated with risk of esophageal squamous cell carcinoma - results of a case-control study in China"
"https://www.kegg.jp/entry/C16439","Leucine supplementation had effects that were intermediate between HP and AP with regard to body composition, liver TG content, insulin sensitivity, REE and feed energy efficiency, and similar effects as HP on SM protein synthesis."
"https://www.kegg.jp/entry/C16439","Leucine supplementation had no effect on liver lipogenesis and white fat lipolysis compared to AP. It is concluded that the essential amino acid leucine is able to mimic part but not all beneficial metabolic effects of HP diets."
"https://www.kegg.jp/entry/C00072","Ascorbic acid, cognitive function, and Alzheimer&#39;s disease: a current review and future direction"
"https://www.kegg.jp/entry/C00182","Glycogen levels in liver and skeletal muscle assessed non-invasively using magnetic resonance spectroscopy after a 48-h pre-study period including a standardized diet and withdrawal from exercise did not differ between individuals with well-controlled Type 1 DM and matched healthy controls."
"https://www.kegg.jp/entry/C00155","Homocysteine and serotonin: association with postpartum depression"
"https://www.kegg.jp/entry/C00504","Folic acid (isolated or in combination with other vitamins and minerals) reduces the total risk for neural tube defects by 72%."
"https://www.kegg.jp/entry/C00504","Conclusions:                    Folic acid or vitamin B-12 supplementation did not reduce the burden of common childhood infections."
"https://www.kegg.jp/entry/C00504","Folic acid and vitamin B-12 supplementation and common infections in 6-30-mo-old children in India: a randomized placebo-controlled trial"
"https://www.kegg.jp/entry/C00255","Riboflavin supplementation to patients with multiple sclerosis does not improve disability status nor is riboflavin supplementation correlated to homocysteine"
"https://www.kegg.jp/entry/C00714","Pectin slightly decreased iron uptake (p = NS)."
"https://www.kegg.jp/entry/C05443","Background:                    Vitamin D3 and its analogues have recently been shown to enhance the anti-tumour effects of 5- Fluorouracil (5-FU) both in vitro and in xenograft mouse model of colon cancer."
"https://www.kegg.jp/entry/C05443","Vitamin D3 enhances the tumouricidal effects of 5-Fluorouracil through multipathway mechanisms in azoxymethane rat model of colon cancer"
"https://www.kegg.jp/entry/C00089","Sucrose malabsorption and impaired mucosal integrity in enterally fed critically ill patients: a prospective cohort observational study"
"https://www.kegg.jp/entry/C00037","Glycine/taurine-conjugated primary BAs increased over time in ICU (P &lt; 0.01), similarly for the two groups."
"https://www.kegg.jp/entry/C00155","Homocysteine and vitamin B12 status and iron deficiency anemia in female university students from Gaza Strip, Palestine"
"https://www.kegg.jp/entry/C02477","We conducted a nested case-control analysis within the Alpha-Tocopherol, Beta-Carotene Cancer Prevention (ATBC) Study to examine whether circulating DBP concentration was prospectively associated with risk of renal cell carcinoma, and whether it modified the association with 25(OH)D."
"https://www.kegg.jp/entry/C00504","Folic acid and autism: What do we know?"
"https://www.kegg.jp/entry/C00504","Folic acid taken in early pregnancy can prevent neural tube defects."
"https://www.kegg.jp/entry/C00504","Folic acid fortification prevents neural tube defects and may also reduce cancer risks"
"https://www.kegg.jp/entry/C00116","Glycerol is an important metabolite for the control of lipid accumulation in white adipose tissue (WAT) and liver."
"https://www.kegg.jp/entry/C05443","The largest randomized controlled trial published so far, the VITdAL-ICU (Effect of High-dose Vitamin D3 on Hospital Length of Stay in Critically Ill Patients with Vitamin D Deficiency) trial, showed no benefits on mortality in its primary analysis."
"https://www.kegg.jp/entry/C00714","Pectin is a prebiotic with health-promoting effects, such as control of glucose homeostasis and lipid metabolism, although other possible health effects and the prevention of obesity have been poorly studied."
"https://www.kegg.jp/entry/C00714","High-Esterified Pectin Reverses Metabolic Malprogramming, Improving Sensitivity to Adipostatic/Adipokine Hormones"
"https://www.kegg.jp/entry/C00255","Riboflavin Supplementation in Patients with Crohn&#39;s Disease [the RISE-UP study]"
"https://www.kegg.jp/entry/C00068","The level of NTKZ and %TPP were statistically different between the analyzed groups, showing the deficit of vitamin B1 in the group of moderate-to-severe active CD patients (Mean ± SD; NTKZ: 1.99 ± 0.87 vs. 1.54 ± 0.62 U/g Hb; % of TPP: 0.15 ± 0.78 vs. 54.90 ± 38.80)."
"https://www.kegg.jp/entry/C00037","Glycine intake was significantly associated with an increased risk of mortality from total and ischemic stroke in men without history of hypertension at baseline; the HRs (95% CIs) for the highest vs. lowest tertile were 1.60 (0.97, 2.51; P-trend: 0.03) and 1.88 (1.01, 3.52; P-trend: 0.02), respectively."
"https://www.kegg.jp/entry/C00378","Thiamine responsive acute life threatening metabolic acidosis in exclusively breast-fed infants"
"https://www.kegg.jp/entry/C00089","Sucrose and starch intake contribute to reduced alveolar bone height in a rodent model of naturally occurring periodontitis"
"https://www.kegg.jp/entry/C00089","Dysregulation of PP2A-Akt interaction contributes to Sucrose non-fermenting related kinase (SNRK) deficiency induced insulin resistance in adipose tissue"
"https://www.kegg.jp/entry/C00120","Biotin interferences have been reported for high-sensitive troponin T (hsTnT) and thyroid-stimulating hormone (TSH) assays."
"https://www.kegg.jp/entry/C00120","Biotin interference: evaluation of a new generation of electrochemiluminescent immunoassays for high-sensitive troponin T and thyroid-stimulating hormone testing"
"https://www.kegg.jp/entry/C00089","Background/objectives:                    Sucrose-sweetened soft drinks (SSSDs) are associated with the development of metabolic disorders."
"https://www.kegg.jp/entry/C00016","Twenty-four biopsy-proven paediatric NAFLD cases and eight obese controls without biochemical or radiological evidence of NAFLD completed a 24-h dietary recall, a Physical Activity Questionnaire (PAQ), a Dutch Eating Behavior Questionnaire (DEBQ) and a 7-day food and activity diary (FAD), in conjunction with wearing a pedometer."
"https://www.kegg.jp/entry/C00155","Buccal Cytome Biomarkers and Their Association with Plasma Folate, Vitamin B12 and Homocysteine in Alzheimer&#39;s Disease"
"https://www.kegg.jp/entry/C02477","Prediagnostic serum DBP and 25(OH)D were studied in relation to risk of pancreatic cancer in a nested case-control study of 234 cases and 234 controls in the Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study of Finnish men."
"https://www.kegg.jp/entry/C05443","Vitamin D3 was protective against vitamin D deficiency-induced cholesterol increase by maintaining the transcriptional activity of VDR and Insig-2 expression."
"https://www.kegg.jp/entry/C00504","Folic acid fortification and colorectal cancer risk"
"https://www.kegg.jp/entry/C00155","Homocysteine--is it still an important risk factor for cardiovascular disease?"
"https://www.kegg.jp/entry/C00253","Nicotinic acid, also known as niacin, is the water soluble vitamin B3 used for decades for the treatment of dyslipidemic diseases."
"https://www.kegg.jp/entry/C00072","Ascorbic acid supplementation improves postprandial glycaemic control and blood pressure in individuals with type 2 diabetes: Findings of a randomized cross-over trial"
"https://www.kegg.jp/entry/C01673","Calcitriol increases Dicer expression and modifies the microRNAs signature in SiHa cervical cancer cells"
"https://www.kegg.jp/entry/C00318","L-Carnitine supplementation improved clinical status without changing oxidative stress and lipid profile in women with knee osteoarthritis"
"https://www.kegg.jp/entry/C00864","Pantothenic acid refeeding diminishes the liver, perinephrical fats, and plasma fats accumulated by pantothenic acid deficiency and/or ethanol consumption"
"https://www.kegg.jp/entry/C02477","We conducted a pooled, nested case-control study of cohort participants from the Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial, the Alpha-Tocopherol, Beta-Carotene Cancer Prevention Study, and the Cancer Prevention Study II Nutrition Cohort to investigate whether prediagnostic serum leptin was associated with pancreatic cancer."
"https://www.kegg.jp/entry/C05443","Vitamin D3 supplementation does not improve glucose metabolism in ageing subjects with prediabetes but may have modest anti-inflammatory effects."
"https://www.kegg.jp/entry/C00016","These findings suggest that feeding either Fe or DHA/EPA alone to adult rats with both ID and (n-3)FAD affects the DA and 5-HT pathways differently than combined repletion and exacerbates the cognitive deficits associated with combined deficiency."
"https://www.kegg.jp/entry/C00016","Concurrent deficiencies of iron (Fe) (ID) and (n-3) fatty acids [(n-3)FAD)] in rats can alter brain monoamine pathways and impair learning and memory."
"https://www.kegg.jp/entry/C00016","These results suggest that the combined deficiencies of Fe and (n-3) FA disrupt brain monoamine metabolism and produce greater deficits in reference memory than ID or (n-3)FAD alone."
"https://www.kegg.jp/entry/C00016","Deficiencies of iron (Fe) (ID) and (n-3) fatty acids (FA) [(n-3)FAD] may impair brain development and function through shared mechanisms."
"https://www.kegg.jp/entry/C02477","With vitamin E being identified as a 'shortfall nutrient' because &gt;90% of American adults are not consuming recommended amounts of vitamin E, we aimed to determine the prevalence of both clinical vitamin E deficiency (serum α-tocopherol concentration &lt; 12 μmol/L) and failure to meet a criterion of vitamin E adequacy, serum α-tocopherol concentration of 30 μmol/L, based on the Estimated Average Requirement (EAR) and lowest mortality rate in the Alpha-Tocopherol Beta-Carotene (ATBC) study."
"https://www.kegg.jp/entry/C00318","Deficiency of L-Carnitine has been proposed to cause cancer cachexia."
"https://www.kegg.jp/entry/C00318","Findings:                    We screened 152 and enrolled 72 patients suffering from advanced pancreatic cancer in a prospective, multi-centre, placebo-controlled, randomized and double-blinded trial to receive oral L-Carnitine (4 g) or placebo for 12 weeks."
"https://www.kegg.jp/entry/C00318","Conclusion:                    While these data are preliminary and need confirmation they indicate that patients with pancreatic cancer may have a clinically relevant benefit from the inexpensive and well tolerated oral supplementation of L-Carnitine."
"https://www.kegg.jp/entry/C00318","L-Carnitine-supplementation in advanced pancreatic cancer (CARPAN)--a randomized multicentre trial"
"https://www.kegg.jp/entry/C00182","Purpose of review:                    Glycogen storage disorders (GSDs) are inborn errors of metabolism with abnormal storage or utilization of glycogen."
"https://www.kegg.jp/entry/C00714","Results:                    Pectin supplementation reversed body and fat weight gain, dyslipidemia, hyperglycemia and insulin resistance in p,p'-DDE-exposed mice."
"https://www.kegg.jp/entry/C00714","Pectin treatment also significantly reduced p,p'-DDE accumulation in mice tissues during p,p'-DDE exposure but did not change p,p'-DDE metabolism after termination of p,p'-DDE exposure."
"https://www.kegg.jp/entry/C00714","Conclusions:                    Pectin had a good effect on reducing p,p'-DDE-induced obesity through regulating gut microbiota and provided a potential strategy for the treatment of environmental pollutant-caused health problems."
"https://www.kegg.jp/entry/C00714","Pectin reduces environmental pollutant-induced obesity in mice through regulating gut microbiota: A case study of p,p&#39;-DDE"
"https://www.kegg.jp/entry/C00016","Moreover, plasma OT level was lower in FAD women with obesity than in NFA subjects (p = 0.02)."
"https://www.kegg.jp/entry/C00155","Homocysteine, iron and cardiovascular disease: a hypothesis"
"https://www.kegg.jp/entry/C00504","Folic acid is an important vitamin in human nutrition and its deficiency in pregnant women's diets results in neural tube defects and other neurological damage to the fetus."
"https://www.kegg.jp/entry/C05443","The OR for having resistant hypertension and chronic kidney disease, older age and obesity were 2.5 (95% CI 1.5-4; &gt;i&lt;P&gt;/i&lt; &lt; 0.0003), 1.034 (95% CI 1.02-1.07; &gt;i&lt;P&gt;/i&lt; &lt; 0.0001) and 1.048 (95% CI 1.02-1.07; &gt;i&lt;P&gt;/i&lt; &lt; 0.0001) respectively.&gt;b&lt;Conclusion&gt;/b&lt;: This study found a statistically significant association between vitamin D deficiency and resistant hypertension.&gt;b&lt;Abbreviations:&gt;/b&lt; US, United States; NHANES, National Health and Nutrition Examination Survey; UVB, ultraviolet B; PTH, parathyroid hormone; IRB, Institutional Review Board; NCHS, National Centers for Health Statistics; BMI, body mass index; BP, blood pressure; ACE, angiotensin-converting-enzyme; RIA, Radio Immuno Assay; SAS, Statistical Analysis System; 25(OH)D or 25OHD3, 25-hydroxycholecalciferol or 25-hydroxyvitamin D3 or calcifediol or calcidiol; Vitamin D3, cholecalciferol; OR, odds ratio; CI, confidence interval."
"https://www.kegg.jp/entry/C00037","Glycine Attenuates LPS-Induced Apoptosis and Inflammatory Cell Infiltration in Mouse Liver"
"https://www.kegg.jp/entry/C00155","Homocysteine is associated with severity of microvasculopathy in sickle cell disease patients"
"https://www.kegg.jp/entry/C00037","Plasma Glycine and Risk of Acute Myocardial Infarction in Patients With Suspected Stable Angina Pectoris"
"https://www.kegg.jp/entry/C00089","The Role of Fructose, Sucrose and High-fructose Corn Syrup in Diabetes"
"https://www.kegg.jp/entry/C00155","Background:                    Homocysteine is an intermediate metabolite implicated in the risk of placenta-mediated complications, including preeclampsia, placental abruption, fetal growth restriction, and pregnancy loss."
"https://www.kegg.jp/entry/C16439","Leucine coingestion further augments the postexercise muscle protein synthetic response to the ingestion of a single 15-g bolus of protein in older men."
"https://www.kegg.jp/entry/C16439","Leucine coingestion augments the muscle protein synthetic response to the ingestion of 15 g of protein following resistance exercise in older men"
"https://www.kegg.jp/entry/C00155","Homocysteine &gt;14 μmol was associated with a 272 % increased dementia risk (HR = 3.72, 95 % CI 1.06-13.08)."
"https://www.kegg.jp/entry/C00155","Homocysteine was measured at baseline in 201 individuals born in 1921 and without dementia at age 77 years and followed up to age 88 years."
"https://www.kegg.jp/entry/C00155","Homocysteine, antioxidant micronutrients and late onset dementia"
"https://www.kegg.jp/entry/C00379","Xylitol has been widely documented to have dental health benefits, such as reducing the risk for dental caries."
"https://www.kegg.jp/entry/C00379","Xylitol also modulates the immune system, which, together with its antimicrobial activity contribute to a reduced respiratory tract infection, sinusitis, and otitis media risk."
"https://www.kegg.jp/entry/C00504","Folic acid also ameliorates hyperhomocysteinemia, which is a consequence of elevated levels of homocysteine."
"https://www.kegg.jp/entry/C05443","Vitamin D Receptor Genetic Variation and Cancer Biomarkers among Breast Cancer Patients Supplemented with Vitamin D3: A Single-Arm Non-Randomized Before and After Trial"
"https://www.kegg.jp/entry/C05443","The Effect of Vitamin D3 Supplementation on Serum BDNF, Dopamine, and Serotonin in Children with Attention-Deficit/Hyperactivity Disorder"
"https://www.kegg.jp/entry/C00047","Circulating and Extracellular Vesicles Levels of N-(1-Carboxymethyl)-L-Lysine (CML) Differentiate Early to Moderate Alzheimer&#39;s Disease"
"https://www.kegg.jp/entry/C05443","Vitamin D3 supplementation was found to have no effect on the risk for recurrent diarrheal disease in either intention-to-treat (HR, 1.05; 95% CI, 0.98-1.17; P = .15) or per protocol (HR, 1.05; 95% CI, 0.98-1.12; P = .14) analyses."
"https://www.kegg.jp/entry/C00025","Conclusion:                    Glutamate level may represent an interesting potential biomarker of abdominal obesity and metabolic risk."
"https://www.kegg.jp/entry/C00025","Glutamate was strongly correlated with WC (r = 0.66 for men; r = 0.76 for women, both p &lt; 0.0001) and multiple markers of metabolic dysfunction, particularly fasting triglyceride level (r = 0.59 for men; r = 0.57 for women, both p &lt; 0.0001), HDL-cholesterol level (r = -0.45, p &lt; 0.0001 in both sexes) and the HOMA-IR index (r = 0.65 for men; r = 0.60 for women, both p &lt; 0.0001)."
"https://www.kegg.jp/entry/C00120","Biotin and carnitine deficiency due to hypoallergenic formula nutrition in infants with milk allergy"
"https://www.kegg.jp/entry/C00155","Homocysteine and carotid plaque stability: a cross-sectional study in Chinese adults"
"https://www.kegg.jp/entry/C00155","Conclusion:                    Homocysteine levels were positively associated and dietary folate intake was inversely associated with risk of PAD in men but not in women."
"https://www.kegg.jp/entry/C00072","Ascorbate- and zinc-responsive parkinsonism"
"https://www.kegg.jp/entry/C05443","Vitamin D3 (cholecalciferol) can be either synthesized in the human skin upon exposure to the UV light of the sun, or it is obtained from the diet."
"https://www.kegg.jp/entry/C00253","Nicotinic acid (NA) can be metabolized to NAD&gt;sup&lt;+&gt;/sup&lt;; however, the calorie restriction mimetic (CRM) potential of NA is unclear."
"https://www.kegg.jp/entry/C16439","The Effects of Timing of a Leucine-Enriched Amino Acid Supplement on Body Composition and Physical Function in Stroke Patients: A Randomized Controlled Trial"
"https://www.kegg.jp/entry/C00089","The Janus Face of Cereals: Wheat-Derived Prebiotics Counteract the Detrimental Effect of Gluten on Metabolic Homeostasis in Mice Fed a High-Fat/High-Sucrose Diet"
"https://www.kegg.jp/entry/C00155","Elevated Total Homocysteine Levels in Acute Ischemic Stroke Are Associated With Long-Term Mortality"
"https://www.kegg.jp/entry/C05443","Single High-dose Vitamin D3 Supplementation in Pediatric Patients With Inflammatory Bowel Disease and Hypovitaminosis D"
"https://www.kegg.jp/entry/C00714","Pectin from apple inhibits the BabA and LPS-mediated adhesion of H. pylori to human stomach cells."
"https://www.kegg.jp/entry/C00155","Introduction:                    Homocysteine levels have been associated with major depression, but associations with bipolar disorder remain less clear."
"https://www.kegg.jp/entry/C00155","Homocysteine as a potential biomarker in bipolar disorders: a critical review and suggestions for improved studies"
"https://www.kegg.jp/entry/C00155","Homocysteine Status Modifies the Treatment Effect of Omega-3 Fatty Acids on Cognition in a Randomized Clinical Trial in Mild to Moderate Alzheimer&#39;s Disease: The OmegAD Study"
"https://www.kegg.jp/entry/C00504","Folic acid treatment significantly reduced the risk of first ischemic stroke in participants with both folate and B&gt;sub&lt;12&gt;/sub&lt; below the median (2.3% in enalapril-folic acid group vs 3.6% in enalapril-only group; HR, 0.62; 95% CI, 0.46-0.86), particularly in &gt;i&lt;MTHFR&gt;/i&lt; 677 CC carriers (1.6% vs 4.9%; HR, 0.24; 95% CI, 0.11-0.55)."
"https://www.kegg.jp/entry/C16439","Leucine-enriched amino acid ingestion after resistance exercise prolongs myofibrillar protein synthesis and amino acid transporter expression in older men"
"https://www.kegg.jp/entry/C00089","Relation of Total Sugars, Sucrose, Fructose, and Added Sugars With the Risk of Cardiovascular Disease: A Systematic Review and Dose-Response Meta-analysis of Prospective Cohort Studies"
"https://www.kegg.jp/entry/C16439","Leucine restriction (LR) also improved glucose tolerance, increased hepatic release of fibroblast growth factor 21 into the blood stream, and enhanced insulin-dependent activation of Akt in liver."
"https://www.kegg.jp/entry/C00089","&quot;Sucrose, fructose, glucose and their link to metabolic syndrome and cancer&quot;"
"https://www.kegg.jp/entry/C00369","Methods:                    Deoxyribonucleic acid was extracted from urine (n = 74) and serum (n = 6) samples (Protein, Fiber and Metabolic Syndrome [ProFiMet] cohort), and buccal (n = 17) samples (Oral Starch Challenge [OSC] cohort), and assessed for AMY1 CN by droplet digital polymerase chain reaction."
"https://www.kegg.jp/entry/C00378","In response: Letter on update to the Vitamin C, Thiamine and Steroids in Sepsis (VICTAS) protocol"
"https://www.kegg.jp/entry/C00025","At baseline and 6 weeks, subjects underwent MRS at 3 T to investigate changes in brain chemistry, including the neurometabolites: GSH, Glutamate (Glu), Glutamine (Gln) and N-Acetylaspartate (NAA)."
"https://www.kegg.jp/entry/C00155","Homocysteine and small vessel stroke: A mendelian randomization analysis"
"https://www.kegg.jp/entry/C05443","Safety and Efficacy of High-dose Daily Vitamin D3 Supplementation in Children and Young Adults With Sickle Cell Disease"
"https://www.kegg.jp/entry/C00378","Thiamine, a water-soluble vitamin also known as vitamin B1, is a critical cofactor in energy metabolism and may be competitively inhibited by the antimetabolite oxythiamine, a uremic toxin that accumulates in kidney failure."
"https://www.kegg.jp/entry/C16439","Methods:                    We conducted a pragmatic, bicentric, randomized (1:1), assessor-blind controlled trial (Protein, Leucine and Vitamin D Enhancing Rehabilitation [PRO-LEADER]; April 2017 to January 2018) in cognitively intact patients with PD or parkinsonism and undergoing a 30-day MIRT."
"https://www.kegg.jp/entry/C00504","Results:                    Folic acid interventions in Ethiopia would have prevented about 41,610 cases of folic acid-preventable spina bifida and anencephaly-affected pregnancies during the year 2016."
